,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
1245,4.2727272727272725,6,3,1,0,11,173,3.1818181818181817,15.727272727272728,12,12,0,4,9,0,0,11.7,14.8,13.456071428571429,16.743214285714284,Exam2016_OR_42_1.txt,9,1
1246,3.6666666666666665,8,2,1,0,9,147,6.0,16.333333333333332,10,10,0,3,9,1,0,14.125,17.5,13.84657738095238,17.301190476190474,Exam2014_AAl_7_1.txt,4,1
1248,4.2,7,2,0,0,10,192,5.2,19.2,13,13,0,6,14,0,0,18.33333333333333,21.33333333333333,17.197971781305114,20.446649029982364,Exam2017_MPa_55_1.txt,2,1
1249,5.8,8,4,4,1,5,167,6.6,33.4,10,7,3,5,8,1,0,28.5,36.5,26.89583333333333,35.270833333333336,Exam2016_ZEv_2_1.txt,3,1
1251,4.5,7,3,2,3,8,188,5.375,23.5,14,9,5,6,6,1,0,17.714285714285715,21.85714285714285,18.33061224489796,22.15578231292517,Exam2019_ABu_27_1.txt,2,1
1253,4.2,7,1,4,1,10,182,5.6,18.2,14,12,2,2,4,4,1,16.11111111111111,20.666666666666668,19.14034391534392,23.627557319223985,Exam2019_EEr_164_1.txt,1,1
1260,4.3,8,1,3,1,10,202,3.9,20.2,12,9,3,5,3,2,0,21.55555555555556,24.222222222222214,21.15943562610229,23.944753086419748,Exam2017_ABl_39_1.txt,2,1
1263,6.111111111111112,10,3,4,1,9,225,13.22222222222222,25.0,15,10,5,12,13,4,0,18.625,25.5,18.705357142857142,24.48526785714286,Exam2019_ABu_42_1.txt,3,1
1264,5.333333333333333,9,3,6,1,9,284,19.666666666666668,31.55555555555556,14,13,1,5,17,5,0,31.625,36.375,25.45491071428572,31.19181547619048,Exam2014_MTsy_20_1.txt,1,1
1265,3.25,5,0,3,2,8,249,8.0,31.125,16,11,5,3,8,1,2,29.57142857142857,36.285714285714285,30.65374149659864,37.70306122448979,Exam2016_MTsy_37_1.txt,1,1
1266,3.4545454545454546,8,1,1,0,11,145,4.545454545454546,13.181818181818182,13,11,2,1,10,0,1,11.7,15.4,11.130357142857145,14.434563492063493,Exam2017_DOv_27_1.txt,3,1
1269,3.2307692307692317,7,1,2,1,13,189,6.0,14.538461538461537,15,13,2,1,14,0,0,12.916666666666664,17.0,12.660146103896103,16.111174242424244,Exam2017_DOv_29_1.txt,3,1
